full_name,email,state,login_time,logout_time,session_duration,session_duration_hours,session_duration_minutes
Lisa Brown,Lisa_Brown@example.com,Alabama,2024-11-30 22:53:03,2024-12-01 00:25:44.803707,0 days 01:32:41.803707,1.5,92.69672845
Amanda Best,Amanda_Best@example.com,Alabama,2023-11-05 18:57:20,2023-11-05 20:05:31.740314,0 days 01:08:11.740314,1.1,68.19567190000001
Seth Smith,Seth_Smith@example.com,Alabama,2024-06-21 17:54:50,2024-06-21 20:55:59.386920,0 days 03:01:09.386920,3.0,181.15644866666668
Sara Evans,Sara_Evans@example.com,Alabama,2024-12-17 22:42:26,2024-12-17 23:50:47.461457,0 days 01:08:21.461457,1.1,68.35769095
Daniel Harrison,Daniel_Harrison@example.com,Alabama,2024-12-24 18:16:33,2024-12-24 22:03:26.569138,0 days 03:46:53.569138,3.8,226.89281896666668
Karen Hill,Karen_Hill@example.com,Alabama,2023-04-06 05:59:48,2023-04-06 08:50:50.577469,0 days 02:51:02.577469,2.9,171.04295781666667
Jacob Brennan,Jacob_Brennan@example.com,Alabama,2024-04-08 06:22:17,2024-04-08 08:35:12.178158,0 days 02:12:55.178158,2.2,132.91963596666668
James Berry,James_Berry@example.com,Alabama,2024-06-28 20:43:30,2024-06-28 21:17:18.445506,0 days 00:33:48.445506,0.6,33.8074251
Patricia Oliver,Patricia_Oliver@example.com,Alabama,2023-04-12 19:46:15,2023-04-12 22:25:21.600743,0 days 02:39:06.600743,2.7,159.11001238333336
Nancy Jackson,Nancy_Jackson@example.com,Alabama,2024-10-13 16:32:05,2024-10-13 17:37:23.052295,0 days 01:05:18.052295,1.1,65.30087158333333
Brittney Morales,Brittney_Morales@example.com,Alabama,2022-07-16 14:41:58,2022-07-16 15:43:58.514718,0 days 01:02:00.514718,1.0,62.00857863333333
Brett Murray,Brett_Murray@example.com,Alabama,2024-07-16 06:54:58,2024-07-16 10:38:34.824741,0 days 03:43:36.824741,3.7,223.61374568333335
Michelle Munoz,Michelle_Munoz@example.com,Alabama,2024-02-19 23:34:32,2024-02-20 02:13:59.754727,0 days 02:39:27.754727,2.7,159.46257878333333
Rhonda Lambert,Rhonda_Lambert@example.com,Alabama,2024-11-29 12:50:40,2024-11-29 13:57:14.247275,0 days 01:06:34.247275,1.1,66.57078791666667
Elizabeth Johnson,Elizabeth_Johnson@example.com,Alabama,2024-01-01 01:01:42,2024-01-01 03:19:45.912779,0 days 02:18:03.912779,2.3,138.06521298333334
Ashlee Lee,Ashlee_Lee@example.com,Alabama,2024-10-18 10:02:04,2024-10-18 10:45:47.756745,0 days 00:43:43.756745,0.7,43.72927908333334
Zachary Howard,Zachary_Howard@example.com,Alabama,2024-12-06 09:18:40,2024-12-06 12:20:18.622156,0 days 03:01:38.622156,3.0,181.64370259999998
Heather Mendoza,Heather_Mendoza@example.com,Alabama,2024-08-22 17:32:46,2024-08-22 18:47:17.358888,0 days 01:14:31.358888,1.2,74.52264813333333
Kim Mcmahon,Kim_Mcmahon@example.com,Alabama,2023-02-13 19:10:12,2023-02-13 20:12:12.520223,0 days 01:02:00.520223,1.0,62.00867038333333
Kathleen Andrews,Kathleen_Andrews@example.com,Alabama,2023-08-19 05:27:13,2023-08-19 08:43:15.592804,0 days 03:16:02.592804,3.3,196.04321339999998
Richard Lambert,Richard_Lambert@example.com,Alabama,2024-11-27 12:40:10,2024-11-27 15:31:27.637612,0 days 02:51:17.637612,2.9,171.29396020000001
Travis Gomez,Travis_Gomez@example.com,Alabama,2022-10-19 08:43:43,2022-10-19 11:52:14.295707,0 days 03:08:31.295707,3.1,188.52159511666665
Sean Bennett,Sean_Bennett@example.com,Alabama,2024-02-29 07:24:12,2024-02-29 11:06:54.932626,0 days 03:42:42.932626,3.7,222.71554376666666
Megan Garcia,Megan_Garcia@example.com,Alabama,2024-03-24 17:20:52,2024-03-24 18:50:40.366055,0 days 01:29:48.366055,1.5,89.80610091666668
Frank Kennedy,Frank_Kennedy@example.com,Alabama,2023-06-20 16:04:17,2023-06-20 17:16:54.806259,0 days 01:12:37.806259,1.2,72.63010431666666
Christopher Parker,Christopher_Parker@example.com,Alabama,2023-08-05 13:16:26,2023-08-05 14:39:38.592171,0 days 01:23:12.592171,1.4,83.20986951666667
Samantha Rowland,Samantha_Rowland@example.com,Alabama,2024-05-14 23:15:33,2024-05-15 02:04:19.776200,0 days 02:48:46.776200,2.8,168.77960333333334
Richard Maldonado,Richard_Maldonado@example.com,Alabama,2024-01-20 20:28:11,2024-01-20 23:37:57.839553,0 days 03:09:46.839553,3.2,189.78065921666666
Jeffrey Carpenter,Jeffrey_Carpenter@example.com,Alabama,2024-05-18 03:38:31,2024-05-18 06:29:54.564027,0 days 02:51:23.564027,2.9,171.39273378333334
